Fecha;Nuquí sur CHIRPS;Nuquí sur TRMM;Nuquí centro CHIRPS;Nuquí centro TRMM;Nuquí norte CHIRPS;Nuquí norte TRMM;Bahía Solano sur CHIRPS;Bahía Solano sur TRMM;Bahía Solano centro CHIRPS;Bahía Solano centro TRMM;Bahía Solano norte CHIRPS;Bahía Solano norte TRMM
01/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
02/01/1981;3,13;;1,95;;0,00;;0,00;;3,74;;0,00;
03/01/1981;3,99;;2,33;;1,85;;0,00;;0,00;;0,00;
04/01/1981;2,61;;0,00;;0,00;;0,00;;0,00;;0,00;
05/01/1981;7,81;;19,44;;15,42;;6,79;;21,96;;17,70;
06/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
07/01/1981;31,52;;73,59;;74,93;;64,15;;35,42;;35,44;
08/01/1981;63,04;;91,98;;93,67;;64,15;;0,00;;0,00;
09/01/1981;31,52;;36,79;;56,20;;48,11;;35,42;;35,44;
10/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
11/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
12/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
13/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
14/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
15/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
16/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
17/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
18/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
19/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
20/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
21/01/1981;24,49;;19,91;;12,08;;1,93;;0,00;;2,49;
22/01/1981;23,20;;46,25;;28,07;;4,49;;5,16;;1,69;
23/01/1981;0,00;;28,81;;17,48;;2,79;;3,40;;1,86;
24/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
25/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
26/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
27/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
28/01/1981;33,68;;67,47;;50,74;;22,19;;0,00;;0,00;
29/01/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
30/01/1981;16,84;;22,49;;76,12;;88,75;;25,46;;29,88;
31/01/1981;16,84;;22,49;;0,00;;0,00;;0,00;;0,00;
01/02/1981;0,00;;0,00;;0,00;;26,67;;0,00;;0,00;
02/02/1981;20,75;;0,00;;0,00;;26,67;;90,59;;48,10;
03/02/1981;20,75;;56,93;;79,23;;53,34;;30,20;;72,15;
04/02/1981;20,75;;28,47;;26,41;;26,67;;0,00;;0,00;
05/02/1981;0,00;;28,47;;0,00;;0,00;;30,20;;24,05;
06/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
07/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
08/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
09/02/1981;34,19;;105,87;;98,96;;41,44;;47,10;;0,00;
10/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
11/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
12/02/1981;21,46;;35,23;;0,00;;0,00;;0,00;;0,00;
13/02/1981;0,00;;35,23;;0,00;;0,00;;0,00;;0,00;
14/02/1981;21,46;;0,00;;56,81;;0,00;;0,00;;0,00;
15/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
16/02/1981;0,00;;15,97;;0,00;;13,60;;17,16;;0,00;
17/02/1981;19,23;;30,67;;9,78;;26,12;;18,23;;0,00;
18/02/1981;25,64;;29,17;;22,36;;24,85;;17,38;;28,69;
19/02/1981;19,23;;16,22;;39,14;;13,82;;25,97;;38,25;
20/02/1981;21,98;;32,98;;33,55;;28,09;;27,94;;21,86;
21/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
22/02/1981;0,00;;23,05;;13,10;;0,00;;0,00;;0,00;
23/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
24/02/1981;0,00;;23,05;;13,10;;0,00;;0,00;;16,98;
25/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
26/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
27/02/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
28/02/1981;47,38;;48,33;;34,29;;31,00;;20,88;;12,77;
01/03/1981;8,20;;17,78;;16,56;;0,00;;0,00;;0,00;
02/03/1981;20,27;;21,64;;20,16;;17,61;;19,64;;13,05;
03/03/1981;0,00;;0,00;;0,00;;30,82;;26,19;;26,09;
04/03/1981;9,78;;15,91;;14,81;;0,00;;0,00;;0,00;
05/03/1981;24,45;;38,81;;36,14;;29,36;;29,93;;32,62;
06/03/1981;13,99;;15,84;;0,00;;0,00;;0,00;;21,62;
07/03/1981;0,00;;18,10;;33,12;;28,36;;11,80;;12,35;
08/03/1981;41,98;;15,84;;14,49;;0,00;;10,33;;10,81;
09/03/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
10/03/1981;0,00;;36,21;;33,12;;42,54;;35,40;;37,06;
11/03/1981;0,00;;0,00;;10,76;;16,27;;0,00;;0,00;
12/03/1981;12,28;;0,00;;19,21;;29,03;;36,91;;67,86;
13/03/1981;0,00;;34,17;;6,32;;9,56;;18,46;;0,00;
14/03/1981;0,00;;14,95;;14,32;;21,64;;16,15;;7,34;
15/03/1981;24,56;;0,00;;12,83;;19,39;;16,15;;0,00;
16/03/1981;11,26;;5,55;;3,55;;1,57;;4,01;;2,38;
17/03/1981;12,64;;8,12;;5,19;;2,30;;0,00;;0,00;
18/03/1981;7,07;;7,64;;4,89;;2,16;;5,42;;0,00;
19/03/1981;0,00;;10,45;;6,69;;2,96;;11,69;;3,74;
20/03/1981;4,72;;4,13;;0,00;;0,00;;0,00;;0,00;
21/03/1981;19,94;;49,27;;22,79;;13,95;;11,03;;9,74;
22/03/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
23/03/1981;19,94;;0,00;;0,00;;0,00;;0,00;;0,00;
24/03/1981;68,36;;37,54;;56,96;;69,75;;37,83;;48,71;
25/03/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
26/03/1981;21,86;;16,85;;7,48;;9,91;;0,00;;0,00;
27/03/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
28/03/1981;14,58;;16,85;;0,00;;0,00;;0,00;;0,00;
29/03/1981;41,64;;38,53;;52,34;;49,54;;30,32;;40,81;
30/03/1981;0,00;;0,00;;0,00;;0,00;;20,21;;10,20;
31/03/1981;8,33;;0,00;;7,48;;9,91;;0,00;;0,00;
01/04/1981;0,00;;0,00;;0,00;;0,00;;0,00;;11,85;
02/04/1981;30,83;;30,84;;18,86;;14,59;;10,15;;0,00;
03/04/1981;23,12;;23,13;;12,58;;14,59;;0,00;;23,70;
04/04/1981;15,41;;26,43;;18,86;;21,89;;20,30;;11,85;
05/04/1981;23,12;;0,00;;0,00;;0,00;;10,15;;0,00;
06/04/1981;5,82;;10,90;;11,42;;15,95;;24,82;;25,80;
07/04/1981;17,46;;16,34;;11,42;;7,98;;8,27;;17,20;
08/04/1981;23,28;;27,24;;28,55;;31,90;;24,82;;25,80;
09/04/1981;0,00;;5,45;;11,42;;0,00;;0,00;;0,00;
10/04/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
11/04/1981;16,60;;11,77;;11,43;;9,46;;2,67;;0,00;
12/04/1981;0,00;;6,80;;6,61;;5,47;;11,05;;45,20;
13/04/1981;22,45;;16,74;;16,26;;13,45;;5,73;;0,00;
14/04/1981;28,49;;31,13;;30,24;;25,02;;24,53;;0,00;
15/04/1981;9,58;;22,96;;22,31;;18,46;;17,90;;13,18;
16/04/1981;16,85;;29,93;;13,79;;7,13;;0,00;;8,93;
17/04/1981;33,70;;14,96;;13,79;;14,25;;15,57;;17,85;
18/04/1981;25,28;;14,96;;27,57;;35,63;;46,71;;53,56;
19/04/1981;0,00;;7,48;;6,89;;14,25;;23,35;;35,71;
20/04/1981;0,00;;0,00;;0,00;;0,00;;0,00;;8,93;
21/04/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
22/04/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
23/04/1981;17,12;;0,00;;13,35;;20,08;;17,97;;0,00;
24/04/1981;34,23;;58,63;;53,39;;60,24;;71,88;;104,40;
25/04/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
26/04/1981;11,86;;13,05;;22,79;;21,62;;14,88;;17,90;
27/04/1981;31,93;;55,93;;78,14;;43,25;;29,75;;23,87;
28/04/1981;11,00;;9,99;;0,00;;10,81;;7,44;;5,97;
29/04/1981;10,34;;8,38;;0,00;;10,81;;0,00;;5,97;
30/04/1981;3,18;;3,52;;11,40;;10,81;;0,00;;0,00;
01/05/1981;22,13;;24,08;;23,76;;22,89;;0,00;;12,63;
02/05/1981;0,00;;24,08;;0,00;;0,00;;0,00;;12,63;
03/05/1981;0,00;;12,04;;11,88;;11,45;;8,60;;6,31;
04/05/1981;0,00;;12,04;;11,88;;11,45;;17,20;;6,31;
05/05/1981;33,19;;24,08;;23,76;;11,45;;17,20;;12,63;
06/05/1981;22,91;;20,38;;19,25;;12,36;;9,93;;0,00;
07/05/1981;7,64;;0,00;;16,84;;32,45;;19,85;;28,19;
08/05/1981;22,91;;20,38;;8,42;;10,82;;19,85;;18,79;
09/05/1981;0,00;;0,00;;16,84;;0,00;;0,00;;9,40;
10/05/1981;7,64;;6,79;;8,42;;0,00;;0,00;;9,40;
11/05/1981;7,29;;8,94;;9,31;;11,79;;11,78;;33,09;
12/05/1981;16,66;;0,00;;10,64;;0,00;;0,00;;0,00;
13/05/1981;0,00;;4,57;;9,31;;0,00;;0,00;;0,00;
14/05/1981;36,43;;15,03;;37,24;;47,14;;47,11;;44,12;
15/05/1981;29,15;;24,87;;18,62;;35,36;;11,78;;0,00;
16/05/1981;24,17;;13,63;;0,00;;0,00;;8,85;;0,00;
17/05/1981;12,09;;6,81;;23,55;;11,27;;8,85;;30,43;
