"sigOBS","sigPRO","muEI1","muI1S1","muI1I2","muI2S2","muS2S1","rho","bT","q","c","delta","S1_0","S2_0","E_0","I1_0","I2_0","K_0","F_0"
0.3771,0.1295,52.8497,3.0425,4.1449,1.6133,0.174,0.2205,0.8596,0.5951,0.9056,0.02,0.7991,0.0737,0.0338,0.0116,0.0818,0.0125,0.8939
0.0563,0.2199,31.3734,7.8715,12.4024,2.2617,0.7148,0.7865,3.1427,0.7608,0.9769,0.02,0.792,0.0251,0.0283,0.0734,0.0811,0.9379,0.5654
0.0683,0.3546,15.598,7.2534,12.0075,0.4902,0.312,0.527,5.1391,0.4128,0.9867,0.02,0.8278,0.0539,0.0375,0.0175,0.0633,0.011,0.7408
0.4516,0.118,47.5202,6.0065,16.4913,2.8234,0.2976,0.2395,6.0628,0.576,0.0562,0.02,0.7569,0.0603,0.0546,0.0747,0.0535,0.4759,0.0727
0.4355,0.2546,36.963,14.4893,15.7195,2.589,0.9332,0.493,6.7511,0.3745,0.0495,0.02,0.8727,0.0454,0.0107,8e-04,0.0704,0.8963,0.6205
0.4671,0.4821,34.6557,11.3655,17.8416,0.6855,0.9907,0.5312,3.4855,0.736,0.3704,0.02,0.7399,0.0691,0.0452,0.0695,0.0762,0.8641,0.0392
0.3517,0.0165,31.2843,9.6882,13.1801,0.3189,0.0663,0.4443,4.5325,0.6066,0.5201,0.02,0.753,0.0899,0.0346,0.0493,0.0731,0.1237,0.0806
0.0524,0.4396,59.4456,13.9224,5.7025,2.6045,0.7614,0.0722,4.7044,0.6325,0.6684,0.02,0.7831,0.0747,0.0285,0.0471,0.0666,0.7073,0.5596
0.4468,0.1814,58.8784,12.7059,2.8729,0.8406,0.2211,0.9598,1.0079,0.9705,0.3612,0.02,0.8027,0.0711,0.007,0.061,0.0581,0.6769,0.1671
0.0652,0.0661,18.0732,7.9796,5.5929,0.9583,0.1421,0.943,6.662,0.0406,0.0836,0.02,0.8703,0.0324,0.0109,0.0516,0.0349,0.378,0.7213
0.4867,0.3978,30.0323,9.4987,17.0996,2.3133,0.1199,0.0321,2.0115,0.2249,0.2276,0.02,0.8377,0.0901,0.0057,0.0377,0.0287,0.0911,0.8745
0.4064,0.3969,33.4407,11.3048,8.6322,2.6542,0.6787,0.0379,7.657,0.7896,0.5807,0.02,0.8267,0.0583,0.0037,0.0752,0.0361,0.9304,0.1518
0.3841,0.4383,43.5776,2.9566,14.948,0.1083,0.2136,0.0306,2.6992,0.2057,0.7477,0.02,0.8599,0.0064,0.0365,0.0904,0.0067,0.8868,0.4507
0.3946,0.1129,25.7934,11.2316,15.0168,2.7308,0.8411,0.2367,0.4398,0.0711,0.1332,0.02,0.8598,0.061,0.016,0.0057,0.0575,0.402,0.3594
0.1487,0.124,17.4126,7.3808,17.9343,0.1491,0.0473,0.9776,4.995,0.4668,0.9668,0.02,0.7524,0.0631,0.0235,0.0763,0.0847,0.7468,0.8085
