run,sigOBS,sigPRO,muEI1,muI1S1,muI1I2,muI2S2,muS2S1,rho,bT,q,c,delta,S1_0,S2_0,E_0,I1_0,I2_0,K_0,F_0,loglik,loglik.se
7,0.314389145,0.24277389,34.28031774,2.998672163,13.17927975,0.3189,0.011054783,0.987121867,0.682460353,0.922592035,0.082254784,0.02,0.644113834,0.000459469,0.000497638,0.032107624,0.322821436,0.052622009,0.006485012,-362.74,0.13
18,0.196190138,0.248720313,79.21616346,3.546781653,3.813141605,0.3173,0.009848367,0.89453211,0.738949817,0.987779055,0.054202095,0.02,0.058640207,0.003242814,0.000363658,0.933623962,0.004129359,0.089126106,0.029257245,-363.3047221,0.073761358
7,0.391582757,0.214448345,30.51793816,4.884019841,13.66393072,0.3189,0.006928105,0.911934972,0.724771935,0.984020499,0.101930109,0.02,0.642831368,0.001748637,0.000470215,0.002074761,0.352875019,0.041255883,0.019760638,-363.377063,0.112518046
7,0.371854758,0.221554726,37.60332031,10.39476034,19.6036553,0.3189,0.004054599,0.915684506,0.708736398,0.9877561,0.086554794,0.02,0.519657447,0.006322336,0.000509835,0.251062183,0.222448199,0.019040756,0.00570682,-363.4640105,0.178681896
7,0.361000894,0.209010315,32.38504533,5.409638411,23.66294861,0.3189,0.002310688,0.936910852,0.688201681,0.981207507,0.131071065,0.02,0.629698142,0.005034827,6.98E-05,0.008435649,0.356761544,0.046023513,0.036668651,-363.4912563,0.155186027
15,0.334756703,0.282669436,16.81679321,4.351662727,92.98000938,0.1491,0.00178547,0.953457382,0.649662582,0.993968015,0.620582526,0.02,0.742429715,0.012750674,0.000507793,0.048772214,0.195539605,0.012314864,0.048744938,-363.7683107,0.173319714
7,0.427893166,0.196902296,36.45901398,4.376171528,11.91488226,0.3189,0.001267617,0.983925301,0.729775359,0.896049963,0.061779296,0.02,0.525894886,0.001240008,0.000293438,0.332955346,0.139616322,0.037498989,0.015515469,-363.8022822,0.111738378
7,0.389994719,0.247181171,29.19252547,6.469325188,19.43704632,0.3189,0.002532971,0.966995861,0.699218261,0.963916266,0.17927188,0.02,0.61653699,0.021571945,0.000417709,0.002922164,0.358551191,0.049651978,0.015161755,-364.1811555,0.081503243
7,0.371580287,0.235328566,21.18552117,7.578468917,7.325239945,0.3189,0.003753408,0.854781945,0.755107076,0.975592066,0.062548809,0.02,0.470688673,0.006257179,0.000935231,0.033957745,0.488161172,0.005240856,0.031998898,-364.2110794,0.211494611
15,0.3521567,0.285176374,16.67441201,2.195906402,20.33383962,0.1491,0.002192593,0.889146989,0.60721724,0.977089432,0.973640724,0.02,0.74561339,0.001987978,0.000597264,0.00658948,0.245211889,0.028087554,0.050556983,-364.3450875,0.223491556
18,0.38026592,0.236325899,55.54486105,2.044891191,4.461610565,0.3173,0.009442483,0.91281195,0.742026176,0.851778212,0.073173908,0.02,0.620842139,0.000635704,0.000448962,0.000198115,0.377875081,0.021151854,0.024448348,-364.5061697,0.180087266
7,0.431626925,0.217039449,29.34918653,5.726830328,11.13211624,0.3189,0.002660856,0.984777768,0.721167468,0.966474894,0.089229718,0.02,0.585979185,0.000958206,0.000720315,0.005850345,0.406491949,0.05870495,0.020864307,-364.5472245,0.181152376
26,0.304979298,0.22234468,34.99398841,6.882469029,12.44995154,0.6857,0.093829117,0.968611899,0.78213144,0.989693199,0.082354128,0.02,0.341011842,0.006550492,0.000980127,0.618839752,0.032617787,0.018799742,0.021157381,-364.7432308,0.178157519
13,0.40861515,0.22712486,39.81819424,2.57052473,65.54785829,0.1083,0.001577813,0.910479441,0.596740611,0.966295048,0.309064183,0.02,0.717296141,0.001258936,0.000645785,0.271012195,0.009786944,0.01572668,0.032103421,-364.7671272,0.08838943
13,0.505803781,0.12561601,48.33954125,2.298643537,55.15508667,0.1083,0.002933901,0.877740073,0.647121157,0.977922329,0.2163388,0.02,0.732241205,0.000923055,0.000729437,0.263822012,0.002284291,0.017686767,0.03725596,-365.0294706,0.041140327
19,0.275297281,0.292496416,57.66210388,1.793183979,1.520363953,0.7475,0.024023497,0.832713629,0.848267203,0.935234405,0.982211208,0.02,0.011587548,0.000602932,0.000725772,0.986807868,0.00027588,0.104879859,0.235644769,-365.188259,0.128222335
26,0.320707007,0.229952809,36.94459218,6.33156006,9.394002636,0.6857,0.069172469,0.92853286,0.790618824,0.976824566,0.204517587,0.02,0.563532549,0.001103846,0.000363689,0.034602111,0.400397806,0.024975543,0.022567477,-365.2889534,0.143248783
26,0.301420057,0.237394937,40.33973982,6.033870601,18.01761073,0.6857,0.073338607,0.959530434,0.635612948,0.983078448,0.149536538,0.02,0.563284352,0.001567108,0.000455919,0.122771655,0.311920966,0.041100829,0.019163105,-365.4268517,0.313602989
16,0.290862824,0.259417053,36.32009327,4.14782575,7.240624567,0.3246,0.009307409,0.981131666,0.776701892,0.775666011,0.089966144,0.02,0.352515203,0.001947567,0.000490827,0.608621395,0.036425008,0.082495873,0.081750999,-365.4812706,0.176508254
26,0.335631012,0.261164587,31.60304717,6.416762821,19.45565706,0.6857,0.111394093,0.972170209,0.777903188,0.97104367,0.05484135,0.02,0.438828124,0.002664189,0.000362886,0.557197758,0.000947043,0.060560885,0.028438522,-365.4819487,0.1609059
15,0.357497314,0.260129091,16.06154548,5.444144753,31.18781445,0.1491,0.012511322,0.890576114,0.698879034,0.902204637,0.915205537,0.02,0.667549173,0.009089353,0.000260484,0.096709734,0.226391256,0.047679857,0.013662129,-365.6743554,0.218420603
3,0.247694223,0.274727738,17.8958569,5.549693938,8.390716371,0.4902,0.002351404,0.96021345,0.780580495,0.920910082,0.98965497,0.02,0.462487148,0.005113716,0.000775204,0.095523628,0.436100304,0.003159813,0.017277844,-365.7337517,0.300775852
26,0.334076233,0.236363018,38.79499668,5.038350407,20.08344615,0.6857,0.069421023,0.967752442,0.754717983,0.993294001,0.147153599,0.02,0.666198525,0.001195767,0.000253702,0.032039819,0.300312187,0.050077848,0.056998707,-365.755066,0.232321783
19,0.351945503,0.256867917,71.87291361,2.436442296,3.514671548,0.7475,0.020973719,0.991053005,0.712620909,0.922107553,0.96112422,0.02,0.132312054,0.002712925,0.000423922,0.86445421,9.69E-05,0.068630607,0.014729357,-365.9261777,0.203683592
26,0.410879468,0.224521749,40.85948296,4.961528874,12.60088752,0.6857,0.092388633,0.955119297,0.705897406,0.967774896,0.069877654,0.02,0.469431989,0.001204231,0.000182203,0.485808252,0.043373325,0.029499998,0.019422328,-365.9871333,0.165408797
13,0.338305832,0.278204407,47.27267077,1.123072297,9.93084661,0.1083,0.001663478,0.896407082,0.582527377,0.907873443,0.64676865,0.02,0.719671654,0.00666869,0.000333693,0.246231203,0.027094761,0.010720125,0.03948131,-366.0212272,0.238616501
19,0.329183862,0.250578332,66.42477277,1.334247334,2.593096984,0.7475,0.005367595,0.906338346,0.784916849,0.886485287,0.996621341,0.02,0.423332743,0.038627752,0.00099113,0.524890006,0.012158369,0.011208059,0.013839722,-366.1732318,0.174620018
18,0.528558159,0.12841072,64.85179321,1.970837481,6.600756822,0.3173,0.00086666,0.879124147,0.726537911,0.954883928,0.219282546,0.02,0.640554038,0.000528192,0.000225148,0.006715836,0.351976786,0.10334381,0.023812449,-366.2052567,0.029024353
6,0.265663532,0.305176542,33.52752123,13.89050514,10.70146623,0.6855,0.048025147,0.960161397,0.80720041,0.981743971,0.396536178,0.02,0.430046357,0.003098937,0.000443888,0.011595039,0.554815779,0.066608602,0.012275278,-366.2126331,0.131385396
