Mes,Población total DANE,Casos vivax,Casos falciparum,Vivax prevalence,Falciparum Prevalence
Jan-94,6899,30,40,4.29,5.84
Feb-94,6899,24,23,3.49,3.31
Mar-94,6899,44,70,6.31,10.12
Apr-94,6899,50,73,7.25,10.51
May-94,6899,66,157,9.53,22.78
Jun-94,6899,54,138,7.78,20.05
Jul-94,6899,59,111,8.59,16.16
Aug-94,6899,58,94,8.46,13.63
Sep-94,6899,52,87,7.52,12.66
Oct-94,6899,44,47,6.31,6.81
Nov-94,6899,24,54,3.49,7.79
Dec-94,6899,19,58,2.82,8.37
Jan-95,6965,33,54,4.79,7.71
Feb-95,6965,46,35,6.65,5.01
Mar-95,6965,44,74,6.25,10.61
Apr-95,6965,93,26,13.29,3.66
May-95,6965,73,79,10.5,11.38
Jun-95,6965,76,105,10.9,15.04
Jul-95,6965,53,172,7.58,24.69
Aug-95,6965,28,73,3.99,10.41
Sep-95,6965,44,55,6.25,7.91
Oct-95,6965,46,40,6.65,5.79
Nov-95,6965,44,24,6.25,3.47
Dec-95,6965,54,21,7.71,3.09
Jan-96,"7,018",42,42,5.94,5.93
Feb-96,"7,018",44,31,6.33,4.4
Mar-96,"7,018",42,16,5.94,2.3
Apr-96,"7,018",62,46,8.84,6.51
May-96,"7,018",51,40,7.26,5.74
Jun-96,"7,018",27,26,3.83,3.64
Jul-96,"7,018",23,21,3.3,3.06
Aug-96,"7,018",42,32,5.94,4.59
Sep-96,"7,018",36,8,5.15,1.15
Oct-96,"7,018",7,17,1.06,2.49
Nov-96,"7,018",31,67,4.49,9.57
Dec-96,"7,018",30,113,4.22,16.08
Jan-97,"7,018",8,122,1.19,17.42
Feb-97,"7,070",53,64,7.47,9.12
Mar-97,"7,070",93,114,13.1,16.15
Apr-97,"7,070",67,132,9.43,18.62
May-97,"7,070",124,286,17.55,40.47
Jun-97,"7,070",167,322,23.57,45.6
Jul-97,"7,070",223,305,31.56,43.13
Aug-97,"7,070",291,369,41.12,52.25
Sep-97,"7,070",156,326,22,46.17
Oct-97,"7,070",126,377,17.81,53.39
Nov-97,"7,070",166,235,23.44,33.25
Dec-97,"7,070",124,199,17.55,28.12
Jan-98,"7,124",150,224,21.06,31.49
Feb-98,"7,124",180,216,25.21,30.36
Mar-98,"7,124",158,356,22.23,49.97
Apr-98,"7,124",146,402,20.54,56.38
May-98,"7,124",113,281,15.86,39.41
Jun-98,"7,124",110,224,15.47,31.49
Jul-98,"7,124",66,171,9.23,23.95
Aug-98,"7,124",82,75,11.57,10.56
Sep-98,"7,124",68,40,9.49,5.66
Oct-98,"7,124",75,44,10.53,6.22
